Id,Designator,Package,Designation
1,X1,Crystal_Round_Horizontal_2mm_NEW,3.768KHz
2,BT1,BATT_rtc_XL,CR2032
3,"C1,C2,C10,C11",C_0603_HandSoldering,22pf
4,C3,C_0603_HandSoldering,4.7uF
5,"C4,C5,C6,C7,C8,C14,C15,C16",C_0603_HandSoldering,100nf
6,"C17,C18",c_elec_8x10.5,100uF/25V
7,CON1,BARREL_JACK,BARREL_JACK
8,"IC1,IC2",SOT-223,LM1117
9,"L1,L2,L3",LED-0805,FER
10,"P1,P3",Pin_Header_Straight_1x40,CONN_01X40
11,P2,VASCH10x2,JTAG
12,P4,Pin_Header_Straight_2x04,USB Operation Selection
13,Q1,SOT-23,BC856
14,"R1,R2,R3,R4,R5,R6,R7,R8,R12,R21,R24,R25,R28",R_0603_HandSoldering,10K
15,"R9,R10,R26",R_0603_HandSoldering,2K
16,"R11,R17",R_0603_HandSoldering,1K
17,"R13,R14,R15,R16,R23,R27",R_0603_HandSoldering,470E
18,R18,R_0603_HandSoldering,100K
19,"R19,R20",R_0603_HandSoldering,33E
20,R22,R_0603_HandSoldering,1K5
21,U1,LQFP-64_10x10mm_Pitch0.5mm,LPC2148
22,X2,Q_49U3HMS,12MHz
23,SW1,SW_PUSH_SMALL_smd_NEW,RST
24,"SW3,SW4",SW_PUSH_SMALL_smd_NEW,ISP
25,SW5,SW_PUSH_SMALL_smd_NEW,User Sw1
26,D6,ZenerDiode_SMD,1n4148
27,"D1,D7",LED-0603_NEW,LED_Rst
28,"D2,D3,D4,D5",LED-0603_NEW,LED
29,D8,LED-0603_NEW,PWR
30,SW2,Micro_slide_switch-spst_2mm_new,Power
31,CON2,USB_Micro-B_SMD,USB-MINI-B
32,EE_LOGO,EE_LOGO(2),
,,,
,,,
